Date,ID,Name,Neo Reference ID,NASA JPL URL,Absolute Magnitude H,Estimated Diameter Min (km),Estimated Diameter Max (km),Is Potentially Hazardous Asteroid,Close Approach Date Full,Relative Velocity (km/h),Miss Distance (astronomical units),Miss Distance (kilometers),Orbiting Body
2023-02-11,3837981,(2019 BV1),3837981,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3837981,28.8,0.0046190746,0.0103285648,False,2023-Feb-11 16:05,83295.2719865538,0.3066749926,45877925.675225762,Earth
2023-02-11,54105558,(2021 AG6),54105558,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54105558,26.88,0.0111829138,0.0250057554,False,2023-Feb-11 18:11,31026.226834385,0.0787010621,11773511.256897727,Earth
2023-02-11,54110070,(2021 CH1),54110070,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54110070,24.58,0.0322518756,0.0721173863,False,2023-Feb-11 06:28,59509.8815072213,0.222528023,33289718.25611101,Earth
2023-02-11,54137806,(2021 GL16),54137806,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54137806,26.28,0.0147419515,0.0329640056,False,2023-Feb-11 08:19,16476.9655801618,0.1629055529,24370323.725012323,Earth
2023-02-11,54171311,(2021 NS8),54171311,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54171311,25.02,0.0263363131,0.0588897864,False,2023-Feb-11 03:37,72691.1159822618,0.4980212327,74502915.626694349,Earth
2023-02-11,54216376,(2021 VC4),54216376,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54216376,26.88,0.0111829138,0.0250057554,False,2023-Feb-11 04:51,55248.390385767,0.1470639934,22000460.166334058,Earth
2023-02-11,54246616,(2022 CK6),54246616,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54246616,26.58,0.012839703,0.0287104486,False,2023-Feb-11 04:51,34500.451035399,0.0720735253,10782045.868271111,Earth
2023-02-11,54291774,(2022 OS2),54291774,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54291774,23.26,0.0592318063,0.1324463452,False,2023-Feb-11 09:44,33417.6673646233,0.1396126326,20885752.462052562,Earth
2023-02-11,54300834,(2022 RS),54300834,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54300834,21.07,0.1623883902,0.3631114793,False,2023-Feb-11 21:52,85762.3970695003,0.4991104493,74665860.110022991,Earth
2023-02-11,54305656,(2022 SP4),54305656,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54305656,24.26,0.0373727432,0.0835679943,False,2023-Feb-11 10:17,41904.3906279378,0.4148573813,62061780.596257831,Earth
2023-02-11,54340306,(2023 BD6),54340306,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340306,25.98,0.0169260249,0.0378477424,False,2023-Feb-11 21:36,12510.2506544213,0.0645849775,9661775.067997925,Earth
2023-02-11,54340312,(2023 BO6),54340312,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340312,25.21,0.0241298697,0.0539560289,False,2023-Feb-11 16:48,31888.7236454712,0.0982447157,14697200.207475559,Earth
2023-02-11,54340438,(2023 BC8),54340438,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54340438,24.19,0.0385971268,0.0863057993,False,2023-Feb-11 00:09,50564.2929417533,0.039660593,5933140.23573691,Earth
2023-02-11,54341459,(2023 CY),54341459,https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54341459,26.33,0.0144063837,0.0322136532,False,2023-Feb-11 20:22,39733.6780698628,0.0205520394,3074541.318396078,Earth
